"Feature","feat_area","downgr_area","total_downgr_area","pct_of_downgr","pct_of_feat"
"P_VUCRD",6297781.91718388,75516.4084130538,252844.688797292,0.298667173007522,0.0119909532286284
"P_IBAA3",4173639.90611297,68998.0230864332,252844.688797292,0.272886978226186,0.0165318581953787
"P_IMMAC123",12811891.4837526,53610.9967967572,252844.688797292,0.212031334538879,0.00418447165781448
"P_IMMAB1",8447371.68210869,53056.8672265688,252844.688797292,0.209839753719743,0.00628087282331163
"P_EVERWET",5742755.70682302,40755.6408943975,252844.688797292,0.161188439781987,0.00709687874167716
"P_DRYFOR",840761.706525374,11628.2269493757,252844.688797292,0.0459896033596266,0.0138305858355892
"P_IMMAA",4809043.8605839,11310.2216471376,252844.688797292,0.0447318933252542,0.00235186493927388
"P_IMMAD2",5159217.58634895,10121.6826322243,252844.688797292,0.0400312250194781,0.00196186388009798
"P_IBAA2",4262379.85408026,8384.56348982591,252844.688797292,0.0331609239241245,0.00196710846448835
"P_IMMAD1",2789034.51736014,3571.94526708607,252844.688797292,0.0141270330180822,0.00128071031206418
"P_COLDREEF",802494.540559757,2426.50510419518,252844.688797292,0.0095968205452025,0.00302370294320338
"P_KBAA1B",6301581.5543274,1697.01356863099,252844.688797292,0.00671168366914564,0.000269299628037921
"P_IBAB1B",351116.046245874,328.354212310256,252844.688797292,0.00129863994324793,0.000935172903149865
"P_SEAMOUNT",23882.9338276865,291.286684969973,252844.688797292,0.00115203798171731,0.0121964364626048
"P_KBAD1B",237894.236758643,132.584331449183,252844.688797292,0.000524370640648405,0.000557324688717435
"P_TRTLALL",2687.42210130024,101.636985573482,252844.688797292,0.000401973978796783,0.0378195094564071
"L_AZE",2102253.13556657,0,252844.688797292,0,0
"L_CLOUDFR",1566894.96387652,0,252844.688797292,0,0
"L_COLDREEF",14034.0829469711,0,252844.688797292,0,0
"L_COLDSEEP",222.787780735062,0,252844.688797292,0,0
"L_CRCRD",2544374.3476183,0,252844.688797292,0,0
"L_ENCRD",1455329.91074812,0,252844.688797292,0,0
"L_GRTAPES",3016202.17586438,0,252844.688797292,0,0
"L_HYDRO",487.132720823376,0,252844.688797292,0,0
"L_IBAA1",14069913.1941577,0,252844.688797292,0,0
"L_IBAA4",11999973.8025543,0,252844.688797292,0,0
"L_IFL",11908070.0404844,0,252844.688797292,0,0
"L_IMMAB2",5461827.77742112,0,252844.688797292,0,0
"L_IRREPL",2518507.33571933,0,252844.688797292,0,0
"L_IUCNMGMT",11458494.3769761,0,252844.688797292,0,0
"L_KBAA1AE",5844982.68444281,0,252844.688797292,0,0
"L_KBAB1",7141933.92771984,0,252844.688797292,0,0
"L_KBAD1A",8653636.67599006,0,252844.688797292,0,0
"L_KBAD2",5.1245222911182,0,252844.688797292,0,0
"L_MANGROVE",3378231.83119466,0,252844.688797292,0,0
"L_MOISTFOR",9036640.12491975,0,252844.688797292,0,0
"L_RAMS13",2437981.98881773,0,252844.688797292,0,0
"L_RAMS2",2415258.63321609,0,252844.688797292,0,0
"L_RAMS56",2327202.13408062,0,252844.688797292,0,0
"L_RAMSALL",5491833.81320106,0,252844.688797292,0,0
"L_SALTM",157971.175309118,0,252844.688797292,0,0
"L_SEAGRSS",413612.540723426,0,252844.688797292,0,0
"L_TIGERCL",262665.511435572,0,252844.688797292,0,0
"L_TRTLCREN",1847.67766009114,0,252844.688797292,0,0
"L_WARMREEF",446801.072137553,0,252844.688797292,0,0
"L_WHS",4190686.08532101,0,252844.688797292,0,0
"P_COLDSEEP",126.674050138373,0,252844.688797292,0,0
"P_HYDRO",530.187583987862,0,252844.688797292,0,0
"P_KBAB4",321.783164073389,0,252844.688797292,0,0
"P_KBAD3",1321.59673380918,0,252844.688797292,0,0
"P_KBAE",72.7749995957117,0,252844.688797292,0,0
"P_RAMS4789",2156104.90234618,0,252844.688797292,0,0
