objectid,type,pol_type,iso_ter,iso_sov,romnam,maplabel,Shape__Area,Shape__Length,total_country_area_km2,2025_Unclassified,2025_Potential,2025_Likely,2018_Unclassified,2018_Potential,2018_Likely,ch_Removal,ch_Downgrade,ch_NoChange,ch_Upgrade,ch_Addition
24,EEZ,200NM,HMD,AUS,Not Applicable,Not Applicable,1.17962E+12,4241672.035,416771.5409,201602.1173,143885.3059,71284.1177,351298.9563,26.11439659,65446.47023,5.01470234,535.5582117,266514.2024,14.91183657,149701.8537
25,Land,Territory,HMD,AUS,Heard Island and McDonald Islands,Heard Isl. & McDonald Is. (Aust.),1007511050,241081.2186,374.330995,NA,NA,374.330995,NA,NA,374.330995,NA,NA,374.330995,NA,NA
26,EEZ,200NM,NFK,AUS,Not Applicable,Not Applicable,5.66735E+11,2734919.988,430260.3222,375445.4675,360.3166606,54454.53797,241306.5219,146801.2826,42152.5177,135001.3337,NA,282573.3237,11823.27685,862.3879978
27,Land,Territory,NFK,AUS,Norfolk Island,Norfolk Is. (Aust.),53060832.31,47239.04681,40.48601549,NA,NA,40.48601549,NA,NA,40.48601549,NA,NA,40.48601549,NA,NA
28,Land,State,AUT,AUT,Austria,Austria,1.84283E+11,3677632.42,83828.38866,35020.01171,14288.10551,34520.27143,78403.58421,1226.20679,4198.597657,113.5000588,144.8085778,38878.36948,1194.637978,43497.07256
29,EEZ,200NM,AZE,AZE,Not Applicable,Not Applicable,1.3873E+11,2891064.113,80503.88583,67647.65305,NA,12856.23278,79639.38213,NA,864.5037002,NA,NA,68512.15675,NA,11991.72908
30,Land,State,AZE,AZE,Azerbaijan,Azerbaijan,1.48099E+11,4457961.705,86151.75309,53386.00042,10436.49712,22329.25555,78246.78087,550.914292,7354.057927,321.45835,50.33475909,60231.69191,366.029275,25182.2388
31,Land,State,BDI,BDI,Burundi,Burundi,27211544493,1156318.426,26886.66578,6427.869639,3702.948101,16755.84803,24293.833,932.8601719,1659.9726,120.3340527,22.18434582,7946.206528,811.6434324,17986.29742
32,EEZ,200NM,BEL,BEL,Not Applicable,Not Applicable,8987478484,449486.3655,3504.450301,3300.382555,NA,204.0677462,3354.888997,NA,149.561304,16.72304205,NA,3416.497775,NA,71.22948427
33,Land,State,BEL,BEL,Belgium,Belgium,76173803399,2272959.938,30663.51735,27217.482,NA,3446.035345,26208.51309,NA,4455.004254,2434.19157,NA,26804.10312,NA,1425.222661
34,EEZ,200NM,BEN,BEN,Not Applicable,Not Applicable,36007082553,1172706.036,35503.76918,33566.02404,239.8485455,1697.896599,33158.64097,640.4308164,1704.697398,427.7774757,NA,35055.5973,NA,20.39440612
35,Land,State,BEN,BEN,Benin,Benin,1.19409E+11,2377252.525,115179.3273,93532.99568,5540.046238,16106.28536,97996.2485,6921.430177,10261.6486,1561.804453,NA,107551.027,41.43853908,6025.057268
36,Land,State,BFA,BFA,Burkina Faso,Burkina Faso,2.88244E+11,3544387.35,273477.2618,247935.3962,614.3066074,24927.559,257542.2629,3227.033441,12707.96542,692.6761367,44.43730767,259857.3076,2583.297796,10299.54288
37,EEZ,200NM,BGD,BGD,Bangladesh,Bangladesh,57258158282,3488474.162,50146.03901,37736.27874,138.1442938,12271.61597,47505.47152,NA,2640.567485,18.34759453,52.69674908,40287.45429,NA,9787.540374
38,EEZ,200NM,BGD,BGD,Not Applicable,Not Applicable,71323425099,12789835.98,62555.16769,43084.54706,65.02420113,19405.59643,57262.31068,475.9621262,4816.894887,450.5683865,NA,47476.2673,NA,14628.332
39,Land,State,BGD,BGD,Bangladesh,Bangladesh,1.65588E+11,18147460.53,137349.8004,106674.3056,3970.204652,26705.29011,125387.0006,35.18395947,11927.61583,686.3376353,100.5438355,117134.9881,28.89819213,19399.0326
40,EEZ,200NM,BGR,BGR,Not Applicable,Not Applicable,64868050504,1397772.891,34692.83055,33934.0263,69.58948355,689.2147612,33906.31804,47.67899278,738.8335125,65.49478634,10.12269632,34576.24907,3.177463702,37.78652577
41,Land,State,BGR,BGR,Bulgaria,Bulgaria,2.07114E+11,3153183.795,111580.4534,12640.12927,75838.33802,23101.98608,90967.85527,10335.65168,10276.94641,171.036476,517.3419638,27069.5843,5323.728152,78498.76248
42,EEZ,200NM,BHR,BHR,Not Applicable,Not Applicable,9395846186,1107115.603,7504.267134,2648.144278,NA,4856.122856,6223.032098,NA,1281.235036,3.837048061,NA,3921.705219,NA,3578.724867
43,Land,State,BHR,BHR,Bahrain,Bahrain,941121477.7,617998.2678,744.5587268,471.9802615,NA,272.5784653,471.9834463,NA,272.5752804,26.93516108,NA,690.6852198,NA,26.93834592
44,EEZ,200NM,BHS,BHS,Not Applicable,Not Applicable,7.60542E+11,15287526.02,619727.843,587543.8534,19621.54581,12562.44377,571127.6977,32959.19106,15640.95424,18001.86794,25.64240164,600025.4408,89.17964025,1585.712217
45,Land,State,BHS,BHS,Bahamas,Bahamas,16057001569,11373505.43,13137.73254,8039.048789,190.4891451,4908.194611,4635.024696,698.494145,7804.213704,3754.354978,24.48354424,8715.686809,292.8763288,350.3308849
46,EEZ,200NM,BIH,BIH,Not Applicable,Not Applicable,24213107.95,49699.73157,7.558420207,NA,6.9287198,0.629700407,6.298683533,NA,1.259736674,NA,0.630036267,0.629700407,NA,6.298683533
47,Land,State,BIH,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,99322251437,2003342.919,51093.83292,23205.29995,25047.38512,2841.147849,38907.93033,10100.41651,2085.486081,330.9671763,701.540883,33850.37427,177.3530364,16033.59755
48,Land,State,BLR,BLR,Belarus,Belarus,5.86024E+11,5649372.646,207012.8733,189500.9657,NA,17511.90754,195537.4414,NA,11475.43191,584.6294252,NA,199807.1388,NA,6621.105062
49,EEZ,200NM,BLZ,BLZ,Not Applicable,Not Applicable,37806067059,2528100.661,34338.85426,17526.85025,162.7134632,16649.29054,17513.67123,904.8705194,15920.31251,657.1598409,8.191948102,32849.67573,179.8459282,643.9808138
50,Land,State,BLZ,BLZ,Belize,Belize,24234165266,2275389.996,21913.19868,5322.776513,821.5664295,15768.85574,6478.770903,2143.096776,13291.331,154.2536579,13.94892216,18541.52047,1893.22758,1310.248048
51,Land,State,BOL,BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),1.19114E+12,6956386.491,1083458.417,393898.9248,139156.8437,550402.6489,588214.2842,269742.8905,225501.2427,77412.67722,294.879444,650906.0382,83116.78596,271728.0366
52,EEZ,200NM,BRA,BRA,Not Applicable,Not Applicable,4.05389E+12,62065921.47,3675563.047,3588541.101,37006.80875,50015.13781,3577835.355,63614.87579,34112.81665,34623.55135,159.3753283,3612074.276,4788.039298,23917.80546
53,Land,State,BRA,BRA,Brazil,Brazil,9.0191E+12,64273761.07,8472491.271,4102459.64,442056.5003,3927975.13,6155212.333,1059827.747,1257451.191,360771.0645,2834.221346,5106923.084,588439.1442,2413523.757
54,EEZ,200NM,BRB,BRB,Not Applicable,Not Applicable,1.96623E+11,1795755.229,184542.8875,180369.0676,3978.957822,194.8620711,172758.5441,11577.81858,206.5248647,7620.514441,NA,176912.3822,NA,9.990889377
55,Land,State,BRB,BRB,Barbados,Barbados,460676999,102509.2223,432.2652867,337.3269977,20.81887656,74.11941244,277.3723549,67.45282762,87.4401042,73.28242578,0.832696301,343.156712,1.665669658,13.32778297
56,EEZ,Joint regime,BRB; GUY,BRB; GUY,Not Applicable,Not Applicable,69982961.58,40604.94102,66.38930301,66.38930301,NA,NA,66.38930301,NA,NA,NA,NA,66.38930301,NA,NA
57,EEZ,200NM,BRN,BRN,Not Applicable,Not Applicable,43920603404,1420930.474,42989.19111,42475.63791,9.357103034,504.1960996,42466.31052,4.246235842,518.6343588,62.98655782,4.259030978,42868.28636,NA,53.65916577
58,Land,State,BRN,BRN,Brunei Darussalam,Brunei Darussalam,5837340858,864276.6621,5728.438079,461.688898,595.5239296,4671.225251,383.3286503,2738.994611,2606.114818,227.4368322,56.22401292,3227.182801,2068.517848,149.0765845
59,Land,State,BTN,BTN,Bhutan,Bhutan,49368017186,1274027.427,38720.14467,11777.65822,2.279653612,26940.2068,21871.58855,861.0319089,15987.52421,676.7794536,NA,26939.39393,333.2615044,10770.70978
60,Land,State,BWA,BWA,Botswana,Botswana,6.78332E+11,4607131.478,577794.0591,378158.3589,1458.297064,198177.4031,376609.279,11568.19192,189616.5881,2064.24721,176.3872569,565897.2256,9141.031707,515.1672996
61,Land,State,CAF,CAF,Central African Republic,Central African Republic,6.3307E+11,5535859.808,620088.0291,395416.3492,41773.52543,182898.1545,496903.9802,87255.73801,35928.31091,28823.21156,2428.427369,439242.6666,19282.88099,130310.8426
62,EEZ,200NM,CAN,CAN,Not Applicable,Not Applicable,6.72149E+13,830276465.7,5753367.964,5595221.442,8393.174827,149753.347,5622515.341,20070.45144,110782.1715,22737.49098,3.295762028,5680231.878,363.9087356,50031.38993
63,Land,State,CAN,CAN,Canada,Canada,5.12093E+13,800866239,9944095.425,6121587.755,341.9643806,3822165.705,8795947.256,18.19723647,1148129.971,39324.58695,4.559012769,7191070.06,12.12990006,2713684.088
64,EEZ,Overlapping claim,CAN; USA,CAN; USA,Not Applicable,Not Applicable,2.59561E+11,2964755.507,24781.17753,24781.17753,NA,NA,24779.97497,NA,1.202566938,1.202566938,NA,24779.97497,NA,NA
65,Land,State,CHE,CHE,Switzerland,Switzerland,87995986846,2666985.019,41217.94488,27540.35984,8818.499869,4859.085171,33440.70359,4666.87154,3110.36975,1189.933925,109.1438769,32347.091,481.4984114,7090.277674
66,EEZ,200NM,CHL,CHL,Not Applicable,Not Applicable,6.17508E+12,137236450.7,3669628.805,3658707.05,4556.901825,6364.852817,3203676.346,3772.648852,462179.8094,461330.1722,768.9316228,3201149.648,80.58442516,6299.468607
67,Land,State,CHL,CHL,Chile,Chile,1.30112E+12,128334085.1,752588.5194,522343.9892,29192.23509,201052.2951,639102.2148,9790.732238,103695.5724,24297.49704,3468.257041,578072.6937,5694.34901,141055.7226
68,EEZ,200NM,CHN,CHN,Not Applicable,Not Applicable,1.2622E+12,48103679.17,964962.5835,935377.7896,1439.175657,28145.61827,937924.5014,26.32801154,27011.75414,1911.780568,148.7773941,958442.7408,0.792462288,4458.492349
69,Land,State,CHN,CHN,China,China,1.4885E+13,70105485.79,9347081.769,7619219.879,116560.1687,1611301.721,8138649.053,189702.3444,1018730.372,324966.4894,1317.957875,8163667.686,12733.97238,844395.6634
70,Land,State,HKG,CHN,"Hong Kong, SAR CHINA","Hong Kong, SAR CHINA",1320305951,920620.2788,1095.233675,0.792323741,407.2060829,687.2352679,151.2355824,44.3606428,899.6374493,NA,225.8631072,718.1357263,0.791582302,150.4432586
71,Land,State,MAC,CHN,"Macau, SAR CHINA","Macau, SAR CHINA",34266116.28,58944.83602,34.10652915,5.550369204,NA,28.55615995,3.171554128,NA,30.93497502,2.378815076,NA,31.72771407,NA,NA
72,EEZ,200NM,TWN,CHN,"Taiwan, Province of China","Taiwan, Province of China",4.12923E+11,5838084.446,355080.7144,346145.4299,2899.271936,6036.01256,348506.629,453.6038367,6120.481622,549.6735733,10.15020318,351609.2296,0.788479106,2910.872611
73,Land,Special Region or Province,TWN,CHN,"Taiwan, Province of China","Taiwan, Province of China",43611677303,2604421.92,36396.53643,18965.31259,5178.356411,12252.86743,20844.56537,10080.75124,5471.219826,7149.416528,67.12941995,18951.95276,1199.368409,9028.66931
74,EEZ,Overlapping claim,CHN; PHL; VNM; TWN; MYS,CHN; PHL; VNM; TWN; MYS,Not Applicable,Not Applicable,3.60406E+11,3546023.143,339622.7592,338458.7446,82.24868151,1081.765932,338391.0006,107.2056262,1124.553032,205.1618575,0.838142671,339278.503,0.838382989,137.417813
75,EEZ,200NM,CIV,CIV,Not Applicable,Not Applicable,1.73546E+11,3282954.33,171862.3015,170197.4995,400.5338132,1264.268153,169881.3156,1689.769471,291.2164538,1409.378849,0.852198516,169358.8756,NA,1093.19489
76,Land,State,CIV,CIV,Côte d'Ivoire,Côte d'Ivoire,3.28817E+11,5165771.233,320703.4646,194598.6458,16806.24476,109298.574,282682.4274,12008.34756,26012.68956,8771.995739,54.31501239,212717.7936,2303.58277,96855.77739
77,EEZ,200NM,CMR,CMR,Not Applicable,Not Applicable,15301501168,3133060.353,15228.34164,13125.99468,41.79560497,2060.55136,12865.5406,1.705531529,2361.095518,1506.132984,9.385097661,12467.14466,NA,1245.6789
78,Land,State,CMR,CMR,Cameroon,Cameroon,4.74099E+11,7538132.348,465255.6386,175883.1244,3512.643424,285859.8708,390296.8854,13306.28449,61652.46873,3381.041395,39.08412921,233758.9006,10281.81007,217794.8024
79,EEZ,200NM,COD,COD,Not Applicable,Not Applicable,13620075118,1570671.936,13396.47182,13183.86896,60.38743913,152.2154202,13309.74093,12.76045088,73.97043308,22.10698363,NA,13221.28066,5.10521227,147.978959
80,Land,State,COD,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,2.36428E+12,10987684.4,2329017.607,778685.8307,77367.02185,1472964.754,1980492.399,178082.176,170443.0321,14217.28647,470.9355316,935585.7735,162719.7569,1216023.854
81,EEZ,200NM,COG,COG,Not Applicable,Not Applicable,34330135986,1174348.834,33757.90324,27079.51324,28.96636615,6649.423634,32462.88394,46.87548829,1248.143809,5.9637007,NA,28320.84282,41.76231848,5389.334403
82,Land,State,COG,COG,Congo,Congo,3.44635E+11,4823330.547,341676.2484,61889.80219,15836.83687,263949.6093,264742.5835,32004.79465,44928.87021,64.90058046,7.687034998,107163.7744,31522.20448,202917.6819
83,EEZ,200NM,COL,COL,Not Applicable,Not Applicable,7.37825E+11,14268256.99,711260.4836,575270.4821,13509.00127,122481.0002,643635.2878,48248.86795,19376.32782,7354.379095,245.5180771,597557.6193,30383.7823,75719.18479
84,Land,State,COL,COL,Colombia,Colombia,1.15307E+12,14591997.58,1136284.086,311403.8473,72498.72001,752381.5188,583456.9479,360865.864,191961.2742,47553.82573,723.482243,479509.1415,288890.7103,319606.9263
85,EEZ,Overlapping claim,COL; DOM; VEN,COL; DOM; VEN,Not Applicable,Not Applicable,931016128.5,284013.175,862.5633771,783.230856,NA,79.33252111,862.5633771,NA,NA,NA,NA,783.230856,NA,79.33252111
86,EEZ,200NM,COM,COM,Not Applicable,Not Applicable,1.7236E+11,2204581.536,164517.2496,134127.0059,NA,30390.24375,159079.7058,157.539798,5280.003975,2008.690763,NA,135389.6283,157.539798,26961.39074
87,Land,State,COM,COM,Comoros,Comoros,1757711216,455532.3194,1661.254401,NA,221.499814,1439.754587,590.9452152,145.6647149,924.6444712,NA,66.02964048,858.6148307,145.6647149,590.9452152
88,EEZ,200NM,CPV,CPV,Not Applicable,Not Applicable,8.75188E+11,4530974.366,801413.2366,785284.6523,7534.456129,8594.128158,783314.8197,12713.70929,5384.707578,5146.027528,4.93401292,791884.3159,1201.764165,3176.194949
89,Land,State,CPV,CPV,Cabo Verde,Cabo Verde,4451226061,1144542.658,4132.000718,2800.813848,186.6135558,1144.573314,3116.431363,1.650986705,1013.918369,568.5191488,9.861580533,2669.483325,NA,884.1366637
90,EEZ,200NM,CRI,CRI,Not Applicable,Not Applicable,5.86049E+11,5605850.036,572937.5324,513605.6142,825.6795125,58506.23869,566283.5369,354.9108163,6299.08461,1392.226482,24.46382716,517258.6398,192.0529869,54070.14925
91,Land,State,CRI,CRI,Costa Rica,Costa Rica,53063305400,2944567.639,51181.09991,10687.06731,6310.136208,34183.8964,16223.74101,6775.031942,28182.32696,2860.252969,203.7659545,36883.13978,2837.014531,8396.926671
92,EEZ,Joint regime,CRI,CRI; ECU,Not Applicable,Not Applicable,17511488327,1048188.567,17331.97548,17331.97548,NA,NA,17331.97548,NA,NA,NA,NA,17331.97548,NA,NA
93,EEZ,200NM,CUB,CUB,Not Applicable,Not Applicable,4.09777E+11,18982890.76,352767.3347,318674.8417,4502.999438,29589.49359,312852.0625,9360.43602,30554.83616,7255.157319,49.22823856,343939.1485,91.42244998,1432.378164
94,Land,State,CUB,CUB,Cuba,Cuba,1.28773E+11,15114205.96,110417.0121,81.85733551,2.376289665,110332.7785,55678.64042,29001.76643,25736.60523,75.50633283,2.376289665,25668.29296,28998.54708,55672.28941
95,EEZ,200NM,CYP,CYP,Not Applicable,Not Applicable,1.4531E+11,2520973.846,98439.28305,96864.84841,809.6705743,764.7640571,97664.32262,506.2728752,268.6875509,66.58533168,22.49203586,97000.88714,483.259006,866.059537
96,Land,State,CYP,CYP,Cyprus,Cyprus,13859893769,883377.9499,9332.726839,3487.859226,1794.161127,4050.706486,6490.012969,760.6496717,2082.064198,95.32876744,776.8472934,4790.776913,572.291355,3097.48251
97,Land,State,CZE,CZE,Czechia,Czechia,1.88599E+11,3429195.88,78785.95499,45786.68812,NA,32999.26687,75973.42848,NA,2812.526513,177.162966,NA,48244.8887,NA,30363.90333
98,EEZ,200NM,DEU,DEU,Not Applicable,Not Applicable,1.68428E+11,10191344.6,56824.24957,34388.6368,NA,22435.61277,47259.97828,NA,9564.271286,110.7334341,NA,43731.44121,NA,12982.07492
99,Land,State,DEU,DEU,Germany,Germany,9.07987E+11,13610853.63,357468.8324,164540.252,7046.213041,185882.3673,351175.0769,436.4748337,5857.280592,552.6437493,10.40035548,169541.8684,176.4512307,187187.4687
100,EEZ,200NM,DJI,DJI,Not Applicable,Not Applicable,7596323980,726917.7085,7237.411408,6724.541066,61.82252288,451.0478194,6553.198028,215.5610885,468.652292,211.5020186,NA,6985.750409,NA,40.15898038
101,Land,State,DJI,DJI,Djibouti,Djibouti,22957587703,970803.3928,21902.53568,20457.45824,381.860262,1063.217173,20419.86601,413.6850936,1068.984572,114.674145,NA,21708.26602,2.513604433,77.08191512
102,EEZ,200NM,DMA,DMA,Not Applicable,Not Applicable,30959222047,1423653.692,28655.8236,26344.1129,1708.024864,603.6858318,25578.02399,2465.855311,611.9442926,811.4632629,13.20817516,27780.83149,4.946319393,45.37435439
103,Land,State,DMA,DMA,Dominica,Dominica,817421454.6,160375.3473,749.6914983,76.67946361,139.4042901,533.6077446,234.2191576,234.2128049,281.2595359,15.66600813,13.19984429,412.3804055,135.2395383,173.2057021
104,EEZ,200NM,DNK,DNK,Not Applicable,Not Applicable,3.3743E+11,14828475.37,104863.2469,70653.49118,NA,34209.75574,74769.68251,0.977395138,30092.58701,950.2289725,NA,98846.59764,NA,5066.420306
